#serial_id|rm_id|revision|from_dt|thru_dt|distribute

# AU2 Research Models
# EU-2.1 Production Models (Short Horizon)
85|62|1|1998-12-31|2003-01-01|0
86|62|2|2003-01-01|2009-01-01|1
87|62|3|2009-01-01|2999-12-31|1
88|63|1|1996-12-31|2999-12-31|1
# EU-2.1 History extension
148|62|4|1996-12-31|2003-01-01|1

# EM Production Models
21|10|1|1998-12-31|2003-01-01|0
12|10|2|2003-01-01|2012-06-28|0
31|10|3|2003-01-01|2003-01-02|0
17|15|1|1998-12-31|2012-06-28|0
32|15|2|1998-12-31|1999-01-01|0
# EM-2 Production Models
52|34|1|1998-12-31|2003-01-01|0
50|34|2|2003-01-01|2012-06-28|0
51|35|1|1998-12-31|2012-06-28|0
# EM-2.1 Production Models
115|80|1|1998-12-31|2003-01-01|0
116|80|2|2003-01-01|2009-01-01|1
117|80|3|2009-01-01|2013-06-28|1
175|80|5|2013-06-28|2999-12-31|1
118|81|1|1996-12-31|2999-12-31|0
176|81|2|1996-12-31|2999-12-31|1
# EM-2.1 History extension
149|80|4|1996-12-31|2003-01-01|1
# EM-2.1 Production Models (Short Horizon)
89|64|1|1998-12-31|2003-01-01|0
90|64|2|2003-01-01|2009-01-01|1
91|64|3|2009-01-01|2013-06-28|1
177|64|5|2013-06-28|2999-12-31|1
92|65|1|1996-12-31|2999-12-31|0
178|65|2|1996-12-31|2999-12-31|1
# EM-2.1 History extension
150|64|4|1996-12-31|2003-01-01|1

# WW Production Models
22|11|1|1998-12-31|2003-01-01|0
13|11|2|2003-01-01|2009-09-30|0
33|11|3|2003-01-01|2012-06-28|0
19|17|1|1998-12-31|2009-09-30|0
34|17|2|1998-12-31|2012-06-28|0
# WW-2 Production Models
55|30|1|1998-12-31|2003-01-01|0
53|30|2|2003-01-01|2012-10-05|0
54|31|1|1998-12-31|2012-10-05|0
# WW-2.1 Production Models
107|76|1|1998-12-31|2003-01-01|0
108|76|2|2003-01-01|2009-01-01|1
109|76|3|2009-01-01|2999-12-31|1
