axid,name,shortname,active,use_level,use_shock,source,type,freq,has_trend,needs_sa,deflator,notes,min_dt,is_tr,is_yield,is_spread,is_price,is_ex_ret
M000010083,NASDAQ COMPOSITE INDEX,nas_composite,0,0,1,macroidx,geom,D,0,0,,,1/2/1985,0,0,0,0,0
M000010086,NYSE COMPOSITE INDEX,nyse_composite,0,0,1,macroidx,geom,D,0,0,,,1/2/1985,0,0,0,0,0
M000010087,NYSE TOTAL VOLUME,nyse_total_vol,0,1,0,macroidx,lin,D,0,0,,,1/2/1985,0,0,0,0,0
M000010102,RUSSELL 2000 INDEX,RUSSELL 2000 INDEX,0,0,1,macroidx,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000010103,RUSSELL 2000 INDEX INCL DIVIDENDS,RUSSELL 2000 INDEX INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000010116,RUSSELL 3000 INDEX,RUSSELL 3000 INDEX,0,0,1,macroidx,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000010096,RUSSELL 1000 INDEX,russell_1000,0,0,1,macroidx,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000010097,RUSSELL 1000 INDEX INCL DIVIDENDS,russell_1000_div,0,0,1,macroidx,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100072,SandP GSCI Cocoa Excess Return,SandP GSCI Cocoa Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100073,SandP GSCI Cocoa Index Spot,SandP GSCI Cocoa Index Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100074,SandP GSCI Cocoa Index Total Return,SandP GSCI Cocoa Index Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100075,SandP GSCI Coffee Excess Return,SandP GSCI Coffee Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100076,SandP GSCI Coffee Spot,SandP GSCI Coffee Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100077,SandP GSCI Coffee Total Return,SandP GSCI Coffee Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100078,SandP GSCI Commodity Excess Return,SandP GSCI Commodity Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100079,SandP GSCI Commodity Total Return,SandP GSCI Commodity Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100080,SandP GSCI Copper Excess Return,SandP GSCI Copper Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100081,SandP GSCI Copper Spot,SandP GSCI Copper Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100082,SandP GSCI Copper Total Return,SandP GSCI Copper Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100083,SandP GSCI Corn Excess Return,SandP GSCI Corn Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100084,SandP GSCI Corn Spot,SandP GSCI Corn Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100085,SandP GSCI Corn Total Return,SandP GSCI Corn Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100086,SandP GSCI Cotton Excess Return,SandP GSCI Cotton Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100087,SandP GSCI Cotton Spot,SandP GSCI Cotton Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100088,SandP GSCI Cotton Total Return,SandP GSCI Cotton Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100095,SandP GSCI Grains Indx Excess Return,SandP GSCI Grains Indx Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100096,SandP GSCI Grains Indx Spot,SandP GSCI Grains Indx Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100097,SandP GSCI Grains Indx Total Return,SandP GSCI Grains Indx Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100098,SandP GSCI Heating Oil Excess Return,SandP GSCI Heating Oil Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100099,SandP GSCI Heating Oil Spot,SandP GSCI Heating Oil Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100100,SandP GSCI Heating Oil Total Return,SandP GSCI Heating Oil Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100101,SandP GSCI Industrial Metals Exc. Ret.,SandP GSCI Industrial Metals Exc. Ret.,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,0
M000100103,SandP GSCI Industrial Metals Tot. Ret.,SandP GSCI Industrial Metals Tot. Ret.,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100104,SandP GSCI Lean Hogs Excess Return,SandP GSCI Lean Hogs Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100105,SandP GSCI Lean Hogs Index Spot,SandP GSCI Lean Hogs Index Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100106,SandP GSCI Lean Hogs Total Return,SandP GSCI Lean Hogs Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100107,SandP GSCI Light Ene. Excess Return,SandP GSCI Light Ene. Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100109,SandP GSCI Light Ene. Total Return,SandP GSCI Light Ene. Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100110,SandP GSCI Live Cattle Excess Return,SandP GSCI Live Cattle Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100111,SandP GSCI Live Cattle Spot,SandP GSCI Live Cattle Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100112,SandP GSCI Live Cattle Total Return,SandP GSCI Live Cattle Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100113,SandP GSCI Livestock Excess Return,SandP GSCI Livestock Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100114,SandP GSCI Livestock Spot,SandP GSCI Livestock Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
