axid,name,shortname,active,use_level,use_shock,source,type,freq,has_trend,needs_sa,deflator,notes,min_dt,is_tr,is_yield,is_spread,is_price,is_ex_ret
M000100140,SandP GSCI Silver Spot,gsci_silver_spot,1,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100150,SandP GSCI Ultra-Light Energy Spot,gsci_ultralight_spot,1,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000010256,MoodysCorpYield - AAA,moodys_aaa,1,1,1,macroidx,percent,D,0,0,,,1/2/1985,0,1,0,0,0
M000100056,OPEC Oil Basket Price U$/Bbl,opec_oil_basket_price,1,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,0
M000100063,Reuters Commodities Index,reuters_cmdy_idx,1,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,0
M000010117,RUSSELL 3000 INDEX INCL DIVIDENDS,russell_3000_div,1,0,1,macroidx,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000010186,SandP INDUSTRIAL AVG,sp_industrial_avg,1,0,1,macroidx,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000010000,10-YR TREAS CONSTANT MAT,treasury_cmt_10y,1,1,1,macroidx,percent,D,0,0,,,1/2/1985,0,1,0,0,0
M000010004,1-YR TREAS CONSTANT MAT,treasury_cmt_1y,1,1,1,macroidx,percent,D,0,0,,,1/2/1985,0,1,0,0,0
M000010006,2-YR TREAS CONSTANT MAT,treasury_cmt_2y,1,1,1,macroidx,percent,D,0,0,,,1/2/1985,0,1,0,0,0
M000010008,3-MO TREAS CONSTANT MAT,treasury_cmt_3m,1,1,1,macroidx,percent,D,0,0,,,1/2/1985,0,1,0,0,0
M000010009,5-YR TREAS CONSTANT MAT,treasury_cmt_5y,1,1,1,macroidx,percent,D,0,0,,,1/2/1985,0,1,0,0,0
M000010010,6-MO TREAS CONSTANT MAT,treasury_cmt_6m,1,1,1,macroidx,geom,D,0,0,,,1/2/1985,0,1,0,0,0
M000010001,10-YR TREASURY YIELD INDEX,treasury_yield_10y,1,1,1,macroidx,percent,D,0,0,,factor 10 off,1/2/1985,0,1,0,0,0
M000010002,13-WK TREASURY YIELD INDEX,treasury_yield_13w,1,1,1,macroidx,percent,D,0,0,,factor 10 off,1/2/1985,0,1,0,0,0
M000010119,RUSSELL 3000 VALUE INCL DIVIDENDS,russell_3000_value_div,1,0,1,macroidx,geom,D,0,0,,,1/31/1985,1,0,0,0,0
M000010005,20-YR TREAS CONSTANT MAT,treasury_cmt_20y,1,1,1,macroidx,percent,D,0,0,,,1/31/1985,0,1,0,0,0
M000010257,MoodysCorpYield - BAA,moodys_baa,1,1,1,macroidx,percent,D,0,0,,,1/2/1986,0,1,0,0,0
M000010159,SandP 100 TOTAL RETURN INDEX,sp_100_tr,1,0,1,macroidx,geom,D,0,0,,,1/4/1988,1,0,0,0,0
M000010172,SandP 500 TOTAL RETURN INDEX,sp_500_tr,1,0,1,macroidx,geom,D,0,0,,,1/4/1988,1,0,0,0,0
M000010177,SandP BANKING INDEX,sp_banking,1,0,1,macroidx,geom,D,0,0,,,11/9/1988,0,0,0,1,0
M000010178,SandP CHEMICAL INDEX,sp_chemical,1,0,1,macroidx,geom,D,0,0,,,9/11/1989,0,0,0,1,0
M000010184,SandP GLOBAL 1200 TOTAL RETURN INDEX,sp_global_1200_tr,1,0,1,macroidx,geom,D,0,0,,,9/11/1989,1,0,0,0,0
M000010189,SandP INSURANCE INDEX,sp_insurance,1,0,1,macroidx,geom,D,0,0,,,9/11/1989,0,0,0,1,0
M000010195,SandP RETAIL INDEX,sp_retail,1,0,1,macroidx,geom,D,0,0,,,9/11/1989,0,0,0,1,0
M000010182,SandP EQUAL WEIGHT INDEX,sp_ew_index,1,0,1,macroidx,geom,D,0,0,,,1/2/1990,0,0,0,1,0
M000010210,VOLATILITY INDEX - NEW CALC (SPX),vix_new,1,1,0,macroidx,percent,D,0,0,,,1/2/1990,0,0,0,0,0
M001000101,"RETAIL SALES and FOOD SERVICES, TOTAL",retail_sales_total,1,0,1,macroecon,geom,M,0,0,,back to 1994 only,1/1/1992,0,0,0,0,0
M000010071,MORGAN STANLEY CONSUMER INDEX,ms_consumer_idx,1,0,1,macroidx,geom,D,0,0,,,10/4/1993,0,0,0,0,0
M000010072,MORGAN STANLEY CYCLICAL INDEX,ms_cyclical_idx,1,0,1,macroidx,geom,D,0,0,,,10/4/1993,0,0,0,0,0
M000010194,SandP MIDCAP 400 SECTOR INDEX - FINANCIALS SEC,sp_400_mc_sec_financials,1,0,1,macroidx,geom,D,0,0,,,12/30/1994,0,0,0,0,0
M000010174,SandP 600 TOTAL RETURN INDEX,sp_600_tr,1,0,1,macroidx,geom,D,0,0,,,12/30/1994,1,0,0,0,0
M000010179,SandP CONSUMER STAPLES SECTOR INDEX,sp_sector_cons_staples,1,0,1,macroidx,geom,D,0,0,,,12/30/1994,0,0,0,1,0
M000010181,SandP ENERGY SECTOR INDEX,sp_sector_energy,1,0,1,macroidx,geom,D,0,0,,,12/30/1994,0,0,0,1,0
M000010183,SandP FINANCIAL SECTOR INDEX,sp_sector_financial,1,0,1,macroidx,geom,D,0,0,,,12/30/1994,0,0,0,1,0
M000010187,SandP INDUSTRIALS SECTOR INDEX,sp_sector_industrials,1,0,1,macroidx,geom,D,0,0,,,12/30/1994,0,0,0,1,0
M000010188,SandP INFORMATION TECH SECTOR INDEX,sp_sector_it,1,0,1,macroidx,geom,D,0,0,,,12/30/1994,0,0,0,1,0
M000010191,SandP MATERIALS SECTOR INDEX,sp_sector_materials,1,0,1,macroidx,geom,D,0,0,,,12/30/1994,0,0,0,1,0
M000010198,SandP TELECOM SERVICES SECTOR INDEX,sp_sector_telecom,1,0,1,macroidx,geom,D,0,0,,,12/30/1994,0,0,0,1,0
M000010199,SandP UTILITIES SECTOR INDEX,sp_sector_utilities,1,0,1,macroidx,geom,D,0,0,,,12/30/1994,0,0,0,1,0
